ID_USER,EMAIL,COUNTRY,FIRST_NAME,LAST_NAME,ADDRESS,CITY,ZIP,PHONE
172,AliMelinda940@outlook.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0629234567
173,MagouRap932@outlook.com,France,Magou,Ebenezer,16 rue Salvador Allende,Stains,93240,0630234567
174,LindaZap931@gmail.com,France,Linda,Ouchene,2 rue Paul Verlaine,La Courneuve,93120,0631234567
175,DjebbarDuchess934@gmail.com,France,Areski,Djebbar,5 rue du Président Georges Pompidou,Dugny,93440,0632234567
176,MebarkiGold951@gmail.com,France,Ryad,Mebarki,36 rue Jean Moulin,Garges les Gonesse,95140,0633234567
177,DjebbarZap951@gmail.com,France,Sabrina,Djebbar,9 rue des Doucettes,Garges les Gonesses,95140,0634234567
178,BediaGold942@gmail.com,France,Michael,Bedia,65 boulevard Hippolyte Marques,Ivry Sur Seine,94200,0635234567
179,MendesDuchess956@gmail.com,France,Mendes,JB,5 avenue Albert 1er,Eaubonne,95600,0636234567
180,DjebbarZap779@gmail.com,France,Ismael,Djebbar,6 rue de Bosnier,Le Mesnil Amelot,77990,0637234567
181,ZeroualiGold940@gmail.com,France,Hakim,Zerouali,1 allee de la cote d'or,Créteil,94000,0638234567
182,ZeroualiDuchess940@gmail.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0639234567
183,EbenezerZap932@gmail.com,France,Magou,Ebenezer,16 rue Salvador Allende,Stains,93240,0640234567
