ID_USER,EMAIL,COUNTRY,FIRST_NAME,LAST_NAME,ADDRESS,CITY,ZIP,PHONE
154,linda1234@gmail.com,France,Linda,Ouchene,2 rue Paul Verlaine,La Courneuve,93120,0612345678
162,alizer123@gmail.com,France,Ali,Zerouali,8 Rue du Clos Vougeot,Créteil,94000,0654321098
158,michael5678@gmail.com,France,Michael,Bedia,65 boulevard Hippolyte Marques,Ivry Sur Seine,94200,0612345678
161,hakimz6789@outlook.com,France,Hakim,Zerouali,1 allee de la cote d'or,Créteil,94000,0678321546
160,ismael321@gmail.com,France,Ismael,Djebbar,6 rue de Bosnier,Le Mesnil Amelot,77990,0672941853
157,sabrina.djebbar@gmail.com,France,Sabrina,Djebbar,9 rue des Doucettes,Garges les Gonesses,95140,0657234890
163,magou1234@gmail.com,France,Magou,Ebenezer,16 rue Salvador Allende,Stains,93240,0658132497
155,areski5678@outlook.com,France,Areski,Djebbar,5 rue du Président Georges Pompidou,Dugny,93440,0675298314
159,mendesjb5678@gmail.com,France,Mendes,JB,5 avenue Albert 1er,Eaubonne,95600,0654123987
156,ryad.mebarki@outlook.com,France,Ryad,Mebarki,36 rue Jean Moulin,Garges les Gonesse,95140,0689471235
